#file-version:0.1
#Dict{String,Any}(Pair{String,Any}("estimation-args", Dict{String,Any}(Pair{String,Any}("delta_ball", 0.015),Pair{String,Any}("num-per-dim", 0x0000000000000065),Pair{String,Any}("delta_t", 0.06),Pair{String,Any}("bounds", [0.0 2.0; 0.0 3.0]))),Pair{String,Any}("model-params", Dict{String,Any}(Pair{String,Any}("u+", 0.5),Pair{String,Any}("u-", -0.5))),Pair{String,Any}("model", "consum"),Pair{String,Any}("dimension", 2))
[1.52, 0.03]; 0
[1.54, 0.03]; 0
[1.56, 0.03]; 0
[1.58, 0.03]; 0
[1.6, 0.03]; 0
[1.62, 0.03]; 0
[1.64, 0.03]; 0
[1.66, 0.03]; 0
[1.68, 0.03]; 0
[1.7, 0.03]; 0
[1.72, 0.03]; 0
[1.74, 0.03]; 0
[1.76, 0.03]; 0
[1.78, 0.03]; 0
[1.8, 0.03]; 0
[1.82, 0.03]; 0
[1.84, 0.03]; 0
[1.86, 0.03]; 0
[1.88, 0.03]; 0
[1.9, 0.03]; 0
[1.92, 0.03]; 0
[1.94, 0.03]; 0
[1.96, 0.03]; 0
[1.98, 0.03]; 0
[2.0, 0.03]; 0
[0.0, 0.06]; 0
[0.02, 0.06]; 0
[0.04, 0.06]; 0
[0.06, 0.06]; 1
[0.08, 0.06]; 1
[0.1, 0.06]; 1
[0.12, 0.06]; 1
[0.14, 0.06]; 1
[0.16, 0.06]; 1
[0.18, 0.06]; 1
[0.2, 0.06]; 1
[0.22, 0.06]; 1
[0.24, 0.06]; 1
[0.26, 0.06]; 1
[0.28, 0.06]; 1
[0.3, 0.06]; 1
[0.32, 0.06]; 1
[0.34, 0.06]; 1
[0.36, 0.06]; 1
[0.38, 0.06]; 1
[0.4, 0.06]; 1
[0.42, 0.06]; 1
[0.44, 0.06]; 1
[0.46, 0.06]; 1
[0.48, 0.06]; 1
[0.5, 0.06]; 1
[0.52, 0.06]; 1
[0.54, 0.06]; 1
[0.56, 0.06]; 1
[0.58, 0.06]; 1
[0.6, 0.06]; 1
[0.62, 0.06]; 1
[0.64, 0.06]; 1
[0.66, 0.06]; 1
[0.68, 0.06]; 1
[0.7, 0.06]; 1
[0.72, 0.06]; 1
[0.74, 0.06]; 1
[0.76, 0.06]; 0
[0.78, 0.06]; 0
[0.8, 0.06]; 0
[0.82, 0.06]; 0
[0.84, 0.06]; 0
[0.86, 0.06]; 0
[0.88, 0.06]; 0
[0.9, 0.06]; 0
[0.92, 0.06]; 0
[0.94, 0.06]; 0
[0.96, 0.06]; 0
[0.98, 0.06]; 0
[1.0, 0.06]; 0
[1.02, 0.06]; 0
[1.04, 0.06]; 0
[1.06, 0.06]; 0
[1.08, 0.06]; 0
[1.1, 0.06]; 0
[1.12, 0.06]; 0
[1.14, 0.06]; 0
[1.16, 0.06]; 0
[1.18, 0.06]; 0
[1.2, 0.06]; 0
[1.22, 0.06]; 0
[1.24, 0.06]; 0
[1.26, 0.06]; 0
[1.28, 0.06]; 0
[1.3, 0.06]; 0
[1.32, 0.06]; 0
[1.34, 0.06]; 0
[1.36, 0.06]; 0
[1.38, 0.06]; 0
[1.4, 0.06]; 0
[1.42, 0.06]; 0
[1.44, 0.06]; 0
[1.46, 0.06]; 0
[1.48, 0.06]; 0
[1.5, 0.06]; 0
[1.52, 0.06]; 0
[1.54, 0.06]; 0
[1.56, 0.06]; 0
[1.58, 0.06]; 0
[1.6, 0.06]; 0
[1.62, 0.06]; 0
[1.64, 0.06]; 0
[1.66, 0.06]; 0
[1.68, 0.06]; 0
[1.7, 0.06]; 0
[1.72, 0.06]; 0
[1.74, 0.06]; 0
[1.76, 0.06]; 0
[1.78, 0.06]; 0
[1.8, 0.06]; 0
[1.82, 0.06]; 0
[1.84, 0.06]; 0
[1.86, 0.06]; 0
[1.88, 0.06]; 0
[1.9, 0.06]; 0
[1.92, 0.06]; 0
[1.94, 0.06]; 0
[1.96, 0.06]; 0
[1.98, 0.06]; 0
[2.0, 0.06]; 0
[0.0, 0.09]; 0
[0.02, 0.09]; 0
[0.04, 0.09]; 0
[0.06, 0.09]; 0
[0.08, 0.09]; 0
[0.1, 0.09]; 1
[0.12, 0.09]; 1
[0.14, 0.09]; 1
[0.16, 0.09]; 1
[0.18, 0.09]; 1
[0.2, 0.09]; 1
[0.22, 0.09]; 1
[0.24, 0.09]; 1
[0.26, 0.09]; 1
[0.28, 0.09]; 1
[0.3, 0.09]; 1
[0.32, 0.09]; 1
[0.34, 0.09]; 1
[0.36, 0.09]; 1
[0.38, 0.09]; 1
[0.4, 0.09]; 1
[0.42, 0.09]; 1
[0.44, 0.09]; 1
[0.46, 0.09]; 1
[0.48, 0.09]; 1
[0.5, 0.09]; 1
[0.52, 0.09]; 1
[0.54, 0.09]; 1
[0.56, 0.09]; 1
[0.58, 0.09]; 1
[0.6, 0.09]; 1
[0.62, 0.09]; 1
[0.64, 0.09]; 1
[0.66, 0.09]; 1
[0.68, 0.09]; 1
[0.7, 0.09]; 1
[0.72, 0.09]; 1
[0.74, 0.09]; 1
[0.76, 0.09]; 1
[0.78, 0.09]; 0
[0.8, 0.09]; 0
[0.82, 0.09]; 0
[0.84, 0.09]; 0
[0.86, 0.09]; 0
[0.88, 0.09]; 0
[0.9, 0.09]; 0
[0.92, 0.09]; 0
[0.94, 0.09]; 0
[0.96, 0.09]; 0
[0.98, 0.09]; 0
[1.0, 0.09]; 0
[1.02, 0.09]; 0
[1.04, 0.09]; 0
[1.06, 0.09]; 0
[1.08, 0.09]; 0
[1.1, 0.09]; 0
[1.12, 0.09]; 0
[1.14, 0.09]; 0
[1.16, 0.09]; 0
[1.18, 0.09]; 0
[1.2, 0.09]; 0
[1.22, 0.09]; 0
[1.24, 0.09]; 0
[1.26, 0.09]; 0
[1.28, 0.09]; 0
[1.3, 0.09]; 0
[1.32, 0.09]; 0
[1.34, 0.09]; 0
[1.36, 0.09]; 0
[1.38, 0.09]; 0
[1.4, 0.09]; 0
[1.42, 0.09]; 0
[1.44, 0.09]; 0
[1.46, 0.09]; 0
[1.48, 0.09]; 0
[1.5, 0.09]; 0
[1.52, 0.09]; 0
[1.54, 0.09]; 0
[1.56, 0.09]; 0
[1.58, 0.09]; 0
[1.6, 0.09]; 0
[1.62, 0.09]; 0
[1.64, 0.09]; 0
[1.66, 0.09]; 0
[1.68, 0.09]; 0
[1.7, 0.09]; 0
[1.72, 0.09]; 0
[1.74, 0.09]; 0
[1.76, 0.09]; 0
[1.78, 0.09]; 0
[1.8, 0.09]; 0
[1.82, 0.09]; 0
[1.84, 0.09]; 0
[1.86, 0.09]; 0
[1.88, 0.09]; 0
[1.9, 0.09]; 0
[1.92, 0.09]; 0
[1.94, 0.09]; 0
[1.96, 0.09]; 0
[1.98, 0.09]; 0
[2.0, 0.09]; 0
[0.0, 0.12]; 0
[0.02, 0.12]; 0
[0.04, 0.12]; 0
[0.06, 0.12]; 0
[0.08, 0.12]; 0
[0.1, 0.12]; 1
[0.12, 0.12]; 1
[0.14, 0.12]; 1
[0.16, 0.12]; 1
[0.18, 0.12]; 1
[0.2, 0.12]; 1
[0.22, 0.12]; 1
[0.24, 0.12]; 1
[0.26, 0.12]; 1
[0.28, 0.12]; 1
[0.3, 0.12]; 1
[0.32, 0.12]; 1
[0.34, 0.12]; 1
[0.36, 0.12]; 1
[0.38, 0.12]; 1
[0.4, 0.12]; 1
[0.42, 0.12]; 1
[0.44, 0.12]; 1
[0.46, 0.12]; 1
[0.48, 0.12]; 1
[0.5, 0.12]; 1
[0.52, 0.12]; 1
[0.54, 0.12]; 1
[0.56, 0.12]; 1
[0.58, 0.12]; 1
[0.6, 0.12]; 1
[0.62, 0.12]; 1
[0.64, 0.12]; 1
[0.66, 0.12]; 1
[0.68, 0.12]; 1
[0.7, 0.12]; 1
[0.72, 0.12]; 1
[0.74, 0.12]; 1
[0.76, 0.12]; 1
[0.78, 0.12]; 1
[0.8, 0.12]; 1
[0.82, 0.12]; 0
[0.84, 0.12]; 0
[0.86, 0.12]; 0
[0.88, 0.12]; 0
[0.9, 0.12]; 0
[0.92, 0.12]; 0
[0.94, 0.12]; 0
[0.96, 0.12]; 0
[0.98, 0.12]; 0
[1.0, 0.12]; 0
[1.02, 0.12]; 0
[1.04, 0.12]; 0
[1.06, 0.12]; 0
[1.08, 0.12]; 0
[1.1, 0.12]; 0
[1.12, 0.12]; 0
[1.14, 0.12]; 0
[1.16, 0.12]; 0
[1.18, 0.12]; 0
[1.2, 0.12]; 0
[1.22, 0.12]; 0
[1.24, 0.12]; 0
[1.26, 0.12]; 0
[1.28, 0.12]; 0
[1.3, 0.12]; 0
[1.32, 0.12]; 0
[1.34, 0.12]; 0
[1.36, 0.12]; 0
[1.38, 0.12]; 0
[1.4, 0.12]; 0
[1.42, 0.12]; 0
[1.44, 0.12]; 0
[1.46, 0.12]; 0
[1.48, 0.12]; 0
[1.5, 0.12]; 0
[1.52, 0.12]; 0
[1.54, 0.12]; 0
[1.56, 0.12]; 0
[1.58, 0.12]; 0
[1.6, 0.12]; 0
[1.62, 0.12]; 0
[1.64, 0.12]; 0
[1.66, 0.12]; 0
[1.68, 0.12]; 0
[1.7, 0.12]; 0
[1.72, 0.12]; 0
[1.74, 0.12]; 0
[1.76, 0.12]; 0
[1.78, 0.12]; 0
[1.8, 0.12]; 0
[1.82, 0.12]; 0
[1.84, 0.12]; 0
[1.86, 0.12]; 0
[1.88, 0.12]; 0
[1.9, 0.12]; 0
[1.92, 0.12]; 0
[1.94, 0.12]; 0
[1.96, 0.12]; 0
[1.98, 0.12]; 0
[2.0, 0.12]; 0
[0.0, 0.15]; 0
[0.02, 0.15]; 0
[0.04, 0.15]; 0
[0.06, 0.15]; 0
[0.08, 0.15]; 0
[0.1, 0.15]; 1
[0.12, 0.15]; 1
[0.14, 0.15]; 1
[0.16, 0.15]; 1
[0.18, 0.15]; 1
[0.2, 0.15]; 1
[0.22, 0.15]; 1
[0.24, 0.15]; 1
[0.26, 0.15]; 1
[0.28, 0.15]; 1
[0.3, 0.15]; 1
[0.32, 0.15]; 1
[0.34, 0.15]; 1
[0.36, 0.15]; 1
[0.38, 0.15]; 1
[0.4, 0.15]; 1
[0.42, 0.15]; 1
[0.44, 0.15]; 1
[0.46, 0.15]; 1
[0.48, 0.15]; 1
[0.5, 0.15]; 1
[0.52, 0.15]; 1
[0.54, 0.15]; 1
[0.56, 0.15]; 1
[0.58, 0.15]; 1
[0.6, 0.15]; 1
[0.62, 0.15]; 1
[0.64, 0.15]; 1
[0.66, 0.15]; 1
[0.68, 0.15]; 1
[0.7, 0.15]; 1
[0.72, 0.15]; 1
[0.74, 0.15]; 1
[0.76, 0.15]; 1
[0.78, 0.15]; 1
[0.8, 0.15]; 1
[0.82, 0.15]; 1
[0.84, 0.15]; 0
[0.86, 0.15]; 0
[0.88, 0.15]; 0
[0.9, 0.15]; 0
[0.92, 0.15]; 0
[0.94, 0.15]; 0
[0.96, 0.15]; 0
[0.98, 0.15]; 0
[1.0, 0.15]; 0
[1.02, 0.15]; 0
[1.04, 0.15]; 0
[1.06, 0.15]; 0
[1.08, 0.15]; 0
[1.1, 0.15]; 0
[1.12, 0.15]; 0
[1.14, 0.15]; 0
[1.16, 0.15]; 0
[1.18, 0.15]; 0
[1.2, 0.15]; 0
[1.22, 0.15]; 0
[1.24, 0.15]; 0
[1.26, 0.15]; 0
[1.28, 0.15]; 0
[1.3, 0.15]; 0
[1.32, 0.15]; 0
[1.34, 0.15]; 0
[1.36, 0.15]; 0
[1.38, 0.15]; 0
[1.4, 0.15]; 0
[1.42, 0.15]; 0
[1.44, 0.15]; 0
[1.46, 0.15]; 0
[1.48, 0.15]; 0
[1.5, 0.15]; 0
[1.52, 0.15]; 0
[1.54, 0.15]; 0
[1.56, 0.15]; 0
[1.58, 0.15]; 0
[1.6, 0.15]; 0
[1.62, 0.15]; 0
[1.64, 0.15]; 0
[1.66, 0.15]; 0
[1.68, 0.15]; 0
[1.7, 0.15]; 0
[1.72, 0.15]; 0
[1.74, 0.15]; 0
[1.76, 0.15]; 0
[1.78, 0.15]; 0
[1.8, 0.15]; 0
[1.82, 0.15]; 0
[1.84, 0.15]; 0
[1.86, 0.15]; 0
[1.88, 0.15]; 0
[1.9, 0.15]; 0
[1.92, 0.15]; 0
[1.94, 0.15]; 0
[1.96, 0.15]; 0
[1.98, 0.15]; 0
[2.0, 0.15]; 0
[0.0, 0.18]; 0
[0.02, 0.18]; 0
[0.04, 0.18]; 0
[0.06, 0.18]; 1
[0.08, 0.18]; 1
[0.1, 0.18]; 1
[0.12, 0.18]; 1
[0.14, 0.18]; 1
[0.16, 0.18]; 1
[0.18, 0.18]; 1
[0.2, 0.18]; 1
[0.22, 0.18]; 1
[0.24, 0.18]; 1
[0.26, 0.18]; 1
[0.28, 0.18]; 1
[0.3, 0.18]; 1
[0.32, 0.18]; 1
[0.34, 0.18]; 1
[0.36, 0.18]; 1
[0.38, 0.18]; 1
[0.4, 0.18]; 1
[0.42, 0.18]; 1
[0.44, 0.18]; 1
[0.46, 0.18]; 1
[0.48, 0.18]; 1
[0.5, 0.18]; 1
[0.52, 0.18]; 1
[0.54, 0.18]; 1
[0.56, 0.18]; 1
[0.58, 0.18]; 1
[0.6, 0.18]; 1
[0.62, 0.18]; 1
[0.64, 0.18]; 1
[0.66, 0.18]; 1
[0.68, 0.18]; 1
[0.7, 0.18]; 1
[0.72, 0.18]; 1
[0.74, 0.18]; 1
[0.76, 0.18]; 1
[0.78, 0.18]; 1
[0.8, 0.18]; 1
[0.82, 0.18]; 1
[0.84, 0.18]; 1
[0.86, 0.18]; 0
[0.88, 0.18]; 0
[0.9, 0.18]; 0
[0.92, 0.18]; 0
[0.94, 0.18]; 0
[0.96, 0.18]; 0
[0.98, 0.18]; 0
[1.0, 0.18]; 0
[1.02, 0.18]; 0
[1.04, 0.18]; 0
[1.06, 0.18]; 0
[1.08, 0.18]; 0
[1.1, 0.18]; 0
[1.12, 0.18]; 0
[1.14, 0.18]; 0
[1.16, 0.18]; 0
[1.18, 0.18]; 0
[1.2, 0.18]; 0
[1.22, 0.18]; 0
[1.24, 0.18]; 0
[1.26, 0.18]; 0
[1.28, 0.18]; 0
[1.3, 0.18]; 0
[1.32, 0.18]; 0
[1.34, 0.18]; 0
[1.36, 0.18]; 0
[1.38, 0.18]; 0
[1.4, 0.18]; 0
[1.42, 0.18]; 0
[1.44, 0.18]; 0
[1.46, 0.18]; 0
[1.48, 0.18]; 0
[1.5, 0.18]; 0
[1.52, 0.18]; 0
[1.54, 0.18]; 0
[1.56, 0.18]; 0
[1.58, 0.18]; 0
[1.6, 0.18]; 0
[1.62, 0.18]; 0
[1.64, 0.18]; 0
[1.66, 0.18]; 0
[1.68, 0.18]; 0
[1.7, 0.18]; 0
[1.72, 0.18]; 0
[1.74, 0.18]; 0
[1.76, 0.18]; 0
[1.78, 0.18]; 0
[1.8, 0.18]; 0
[1.82, 0.18]; 0
[1.84, 0.18]; 0
[1.86, 0.18]; 0
[1.88, 0.18]; 0
[1.9, 0.18]; 0
[1.92, 0.18]; 0
[1.94, 0.18]; 0
[1.96, 0.18]; 0
[1.98, 0.18]; 0
[2.0, 0.18]; 0
[0.0, 0.21]; 0
[0.02, 0.21]; 0
[0.04, 0.21]; 0
[0.06, 0.21]; 0
[0.08, 0.21]; 1
[0.1, 0.21]; 1
[0.12, 0.21]; 1
[0.14, 0.21]; 1
[0.16, 0.21]; 1
[0.18, 0.21]; 1
[0.2, 0.21]; 1
[0.22, 0.21]; 1
[0.24, 0.21]; 1
[0.26, 0.21]; 1
[0.28, 0.21]; 1
[0.3, 0.21]; 1
[0.32, 0.21]; 1
[0.34, 0.21]; 1
[0.36, 0.21]; 1
[0.38, 0.21]; 1
[0.4, 0.21]; 1
[0.42, 0.21]; 1
[0.44, 0.21]; 1
[0.46, 0.21]; 1
[0.48, 0.21]; 1
[0.5, 0.21]; 1
[0.52, 0.21]; 1
[0.54, 0.21]; 1
[0.56, 0.21]; 1
[0.58, 0.21]; 1
[0.6, 0.21]; 1
[0.62, 0.21]; 1
[0.64, 0.21]; 1
[0.66, 0.21]; 1
[0.68, 0.21]; 1
[0.7, 0.21]; 1
[0.72, 0.21]; 1
[0.74, 0.21]; 1
[0.76, 0.21]; 1
[0.78, 0.21]; 1
[0.8, 0.21]; 1
[0.82, 0.21]; 1
[0.84, 0.21]; 1
[0.86, 0.21]; 1
[0.88, 0.21]; 0
[0.9, 0.21]; 0
[0.92, 0.21]; 0
[0.94, 0.21]; 0
[0.96, 0.21]; 0
[0.98, 0.21]; 0
[1.0, 0.21]; 0
[1.02, 0.21]; 0
[1.04, 0.21]; 0
[1.06, 0.21]; 0
[1.08, 0.21]; 0
[1.1, 0.21]; 0
[1.12, 0.21]; 0
[1.14, 0.21]; 0
[1.16, 0.21]; 0
[1.18, 0.21]; 0
[1.2, 0.21]; 0
[1.22, 0.21]; 0
[1.24, 0.21]; 0
[1.26, 0.21]; 0
[1.28, 0.21]; 0
[1.3, 0.21]; 0
[1.32, 0.21]; 0
[1.34, 0.21]; 0
[1.36, 0.21]; 0
[1.38, 0.21]; 0
[1.4, 0.21]; 0
[1.42, 0.21]; 0
[1.44, 0.21]; 0
[1.46, 0.21]; 0
[1.48, 0.21]; 0
[1.5, 0.21]; 0
[1.52, 0.21]; 0
[1.54, 0.21]; 0
[1.56, 0.21]; 0
[1.58, 0.21]; 0
[1.6, 0.21]; 0
[1.62, 0.21]; 0
[1.64, 0.21]; 0
[1.66, 0.21]; 0
[1.68, 0.21]; 0
[1.7, 0.21]; 0
[1.72, 0.21]; 0
[1.74, 0.21]; 0
[1.76, 0.21]; 0
[1.78, 0.21]; 0
[1.8, 0.21]; 0
[1.82, 0.21]; 0
[1.84, 0.21]; 0
[1.86, 0.21]; 0
[1.88, 0.21]; 0
[1.9, 0.21]; 0
[1.92, 0.21]; 0
[1.94, 0.21]; 0
[1.96, 0.21]; 0
[1.98, 0.21]; 0
[2.0, 0.21]; 0
[0.0, 0.24]; 0
[0.02, 0.24]; 0
[0.04, 0.24]; 0
[0.06, 0.24]; 0
[0.08, 0.24]; 0
[0.1, 0.24]; 1
[0.12, 0.24]; 1
[0.14, 0.24]; 1
[0.16, 0.24]; 1
[0.18, 0.24]; 1
[0.2, 0.24]; 1
[0.22, 0.24]; 1
[0.24, 0.24]; 1
[0.26, 0.24]; 1
[0.28, 0.24]; 1
[0.3, 0.24]; 1
[0.32, 0.24]; 1
[0.34, 0.24]; 1
[0.36, 0.24]; 1
[0.38, 0.24]; 1
[0.4, 0.24]; 1
[0.42, 0.24]; 1
[0.44, 0.24]; 1
[0.46, 0.24]; 1
[0.48, 0.24]; 1
[0.5, 0.24]; 1
[0.52, 0.24]; 1
[0.54, 0.24]; 1
[0.56, 0.24]; 1
[0.58, 0.24]; 1
[0.6, 0.24]; 1
[0.62, 0.24]; 1
[0.64, 0.24]; 1
[0.66, 0.24]; 1
[0.68, 0.24]; 1
[0.7, 0.24]; 1
[0.72, 0.24]; 1
[0.74, 0.24]; 1
[0.76, 0.24]; 1
[0.78, 0.24]; 1
[0.8, 0.24]; 1
[0.82, 0.24]; 1
[0.84, 0.24]; 1
[0.86, 0.24]; 1
[0.88, 0.24]; 1
[0.9, 0.24]; 1
[0.92, 0.24]; 0
[0.94, 0.24]; 0
[0.96, 0.24]; 0
[0.98, 0.24]; 0
[1.0, 0.24]; 0
[1.02, 0.24]; 0
[1.04, 0.24]; 0
[1.06, 0.24]; 0
[1.08, 0.24]; 0
[1.1, 0.24]; 0
[1.12, 0.24]; 0
[1.14, 0.24]; 0
[1.16, 0.24]; 0
[1.18, 0.24]; 0
[1.2, 0.24]; 0
[1.22, 0.24]; 0
[1.24, 0.24]; 0
[1.26, 0.24]; 0
[1.28, 0.24]; 0
[1.3, 0.24]; 0
[1.32, 0.24]; 0
[1.34, 0.24]; 0
[1.36, 0.24]; 0
[1.38, 0.24]; 0
[1.4, 0.24]; 0
[1.42, 0.24]; 0
[1.44, 0.24]; 0
[1.46, 0.24]; 0
[1.48, 0.24]; 0
[1.5, 0.24]; 0
[1.52, 0.24]; 0
[1.54, 0.24]; 0
[1.56, 0.24]; 0
[1.58, 0.24]; 0
[1.6, 0.24]; 0
[1.62, 0.24]; 0
[1.64, 0.24]; 0
[1.66, 0.24]; 0
[1.68, 0.24]; 0
[1.7, 0.24]; 0
[1.72, 0.24]; 0
[1.74, 0.24]; 0
[1.76, 0.24]; 0
[1.78, 0.24]; 0
[1.8, 0.24]; 0
[1.82, 0.24]; 0
[1.84, 0.24]; 0
[1.86, 0.24]; 0
[1.88, 0.24]; 0
[1.9, 0.24]; 0
[1.92, 0.24]; 0
[1.94, 0.24]; 0
[1.96, 0.24]; 0
[1.98, 0.24]; 0
[2.0, 0.24]; 0
[0.0, 0.27]; 0
[0.02, 0.27]; 0
[0.04, 0.27]; 0
[0.06, 0.27]; 0
[0.08, 0.27]; 0
[0.1, 0.27]; 0
[0.12, 0.27]; 0
[0.14, 0.27]; 1
[0.16, 0.27]; 1
[0.18, 0.27]; 1
[0.2, 0.27]; 1
[0.22, 0.27]; 1
[0.24, 0.27]; 1
[0.26, 0.27]; 1
[0.28, 0.27]; 1
[0.3, 0.27]; 1
[0.32, 0.27]; 1
[0.34, 0.27]; 1
[0.36, 0.27]; 1
[0.38, 0.27]; 1
[0.4, 0.27]; 1
[0.42, 0.27]; 1
[0.44, 0.27]; 1
[0.46, 0.27]; 1
[0.48, 0.27]; 1
[0.5, 0.27]; 1
[0.52, 0.27]; 1
[0.54, 0.27]; 1
[0.56, 0.27]; 1
[0.58, 0.27]; 1
[0.6, 0.27]; 1
[0.62, 0.27]; 1
[0.64, 0.27]; 1
[0.66, 0.27]; 1
[0.68, 0.27]; 1
[0.7, 0.27]; 1
[0.72, 0.27]; 1
[0.74, 0.27]; 1
[0.76, 0.27]; 1
[0.78, 0.27]; 1
[0.8, 0.27]; 1
[0.82, 0.27]; 1
[0.84, 0.27]; 1
[0.86, 0.27]; 1
[0.88, 0.27]; 1
[0.9, 0.27]; 1
[0.92, 0.27]; 1
[0.94, 0.27]; 0
[0.96, 0.27]; 0
[0.98, 0.27]; 0
[1.0, 0.27]; 0
[1.02, 0.27]; 0
[1.04, 0.27]; 0
[1.06, 0.27]; 0
[1.08, 0.27]; 0
[1.1, 0.27]; 0
